"timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"2018-10-17","2580.0000","2599.0000","2552.0000","2565.0000","2565.0000","491989","0.0000","1.0000"
"2018-10-16","2566.8999","2590.0000","2537.5000","2573.6001","2573.6001","600003","0.0000","1.0000"
"2018-10-15","2461.1001","2579.9500","2443.3999","2566.8501","2566.8501","1123276","0.0000","1.0000"
"2018-10-12","2460.0000","2490.9500","2432.4500","2450.5000","2450.5000","925386","0.0000","1.0000"
"2018-10-11","2412.0500","2516.0000","2408.0000","2459.0000","2459.0000","548027","0.0000","1.0000"
"2018-10-10","2465.0000","2514.0500","2456.0000","2484.6001","2484.6001","893571","0.0000","1.0000"
"2018-10-09","2357.6499","2477.0000","2341.9500","2454.1499","2454.1499","1127674","0.0000","1.0000"
"2018-10-08","2395.0000","2407.7500","2332.0000","2340.1001","2340.1001","603789","0.0000","1.0000"
"2018-10-05","2356.0000","2429.1001","2350.3000","2394.5500","2394.5500","736953","0.0000","1.0000"
"2018-10-04","2469.0000","2493.9500","2360.2500","2372.4500","2372.4500","804214","0.0000","1.0000"
"2018-10-03","2517.0000","2549.0000","2482.0000","2489.5500","2489.5500","705888","0.0000","1.0000"
"2018-10-01","2531.0000","2540.7000","2440.3501","2508.6001","2508.6001","762356","0.0000","1.0000"
"2018-09-28","2559.0000","2577.0000","2484.5500","2530.6499","2530.6499","1069703","0.0000","1.0000"
"2018-09-27","2609.8999","2620.3501","2529.0000","2541.0000","2541.0000","1050352","0.0000","1.0000"
"2018-09-26","2617.7000","2664.2000","2591.0000","2600.8501","2600.8501","1206238","0.0000","1.0000"
"2018-09-25","2570.6001","2619.2500","2550.2500","2611.7000","2611.7000","759251","0.0000","1.0000"
"2018-09-24","2577.8000","2600.9500","2529.3000","2553.9500","2553.9500","688659","0.0000","1.0000"
"2018-09-21","2643.9500","2670.8000","2441.1001","2556.2500","2556.2500","1411007","0.0000","1.0000"
"2018-09-19","2603.3999","2636.0000","2571.0000","2607.1001","2607.1001","869947","0.0000","1.0000"
"2018-09-18","2579.8999","2637.0000","2570.0000","2584.1499","2584.1499","1111458","0.0000","1.0000"
"2018-09-17","2581.0000","2615.0000","2547.8999","2568.5000","2568.5000","691773","0.0000","1.0000"
"2018-09-14","2555.8999","2595.0000","2550.0500","2581.8501","2581.8501","677333","0.0000","1.0000"
"2018-09-12","2526.0000","2574.4500","2487.6001","2529.1499","2529.1499","1248825","0.0000","1.0000"
"2018-09-11","2578.4500","2586.4500","2507.1001","2524.4500","2524.4500","1136931","0.0000","1.0000"
"2018-09-10","2623.8000","2659.8000","2555.0000","2563.8999","2563.8999","1323873","0.0000","1.0000"
"2018-09-07","2575.0000","2644.3000","2545.6001","2632.5000","2632.5000","1306632","0.0000","1.0000"
"2018-09-06","2584.0000","2620.0000","2555.1001","2566.9500","2566.9500","1084494","0.0000","1.0000"
"2018-09-05","2549.3000","2590.0000","2518.5000","2567.7000","2567.7000","1127153","0.0000","1.0000"
"2018-09-04","2595.0000","2615.0000","2537.0500","2543.1001","2543.1001","1036459","0.0000","1.0000"
"2018-09-03","2510.0000","2632.0000","2495.0000","2593.3999","2593.3999","3039924","0.0000","1.0000"
"2018-08-31","2397.0000","2499.0000","2395.0000","2492.0000","2492.0000","1981320","0.0000","1.0000"
"2018-08-30","2385.0000","2417.9500","2375.0500","2380.1499","2380.1499","1078598","0.0000","1.0000"
"2018-08-29","2420.0000","2429.5000","2377.5000","2383.8501","2383.8501","638133","0.0000","1.0000"
"2018-08-28","2450.0000","2480.0000","2407.0500","2414.5000","2414.5000","750408","0.0000","1.0000"
"2018-08-27","2453.0000","2462.9500","2426.5000","2443.1001","2443.1001","457122","0.0000","1.0000"
"2018-08-24","2475.0000","2477.3999","2425.6001","2447.4500","2447.4500","576704","0.0000","1.0000"
"2018-08-23","2430.0000","2520.0000","2425.0000","2463.6001","2463.6001","1624568","0.0000","1.0000"
"2018-08-21","2388.0000","2427.8999","2354.1001","2410.9500","2410.9500","638958","0.0000","1.0000"
"2018-08-20","2365.0000","2396.9500","2365.0000","2380.7500","2380.7500","361318","0.0000","1.0000"
"2018-08-17","2373.8999","2411.3000","2350.8999","2364.1499","2364.1499","889022","0.0000","1.0000"
"2018-08-16","2275.3501","2361.4500","2270.8501","2353.4500","2353.4500","895988","0.0000","1.0000"
"2018-08-14","2254.0000","2291.0000","2239.0500","2278.4500","2278.4500","482038","0.0000","1.0000"
"2018-08-13","2220.0000","2249.0000","2215.1499","2241.6001","2241.6001","267323","0.0000","1.0000"
"2018-08-10","2236.3999","2256.8999","2205.5000","2214.3000","2214.3000","323888","0.0000","1.0000"
"2018-08-09","2263.8999","2263.8999","2205.0500","2237.7000","2237.7000","390701","0.0000","1.0000"
"2018-08-08","2263.0000","2280.0000","2237.0000","2245.5000","2245.5000","345399","0.0000","1.0000"
"2018-08-07","2249.8999","2281.4500","2245.0500","2258.8000","2258.8000","499910","0.0000","1.0000"
"2018-08-06","2285.0000","2325.0000","2228.2000","2234.3999","2234.3999","835775","0.0000","1.0000"
"2018-08-03","2236.0000","2290.0000","2230.0000","2281.0500","2281.0500","1013107","0.0000","1.0000"
"2018-08-02","2175.0000","2237.9500","2170.0000","2227.8501","2227.8501","1039641","0.0000","1.0000"
"2018-08-01","2130.0000","2182.0000","2130.0000","2175.7000","2175.7000","912903","0.0000","1.0000"
"2018-07-31","2075.0000","2135.0000","2070.6001","2127.8000","2127.8000","1464380","0.0000","1.0000"
"2018-07-30","2080.0500","2092.8501","2058.3000","2067.2000","2067.2000","807995","0.0000","1.0000"
"2018-07-27","2135.0000","2135.0000","2067.3999","2083.2000","2083.2000","896318","0.0000","1.0000"
"2018-07-26","2075.7000","2191.0000","2074.8999","2132.7500","2132.7500","1913049","0.0000","1.0000"
"2018-07-25","2087.0000","2097.5000","2061.5500","2088.2000","2088.2000","538614","0.0000","1.0000"
"2018-07-24","2043.0000","2090.0000","2043.0000","2077.6001","2077.6001","1289377","0.0000","1.0000"
"2018-07-23","2073.0000","2073.0000","2032.5000","2041.7000","2041.7000","587029","0.0000","1.0000"
"2018-07-20","2026.0000","2073.0000","2020.0000","2051.8999","2051.8999","755783","0.0000","1.0000"
"2018-07-19","2077.8000","2077.8000","2025.0000","2029.2000","2029.2000","762721","0.0000","1.0000"
"2018-07-18","2080.0000","2096.5500","2040.5000","2065.6499","2065.6499","1219549","0.0000","1.0000"
"2018-07-17","2060.0000","2119.0000","2057.0500","2065.3000","2065.3000","1422184","0.0000","1.0000"
"2018-07-16","2223.1001","2223.1001","2069.9500","2093.9500","2073.9500","3721516","0.0000","1.0000"
"2018-07-13","2340.0000","2366.3999","2301.0000","2319.8501","2277.8835","466927","0.0000","1.0000"
"2018-07-12","2326.7000","2387.6499","2326.6499","2357.2500","2314.6067","1312367","0.0000","1.0000"
"2018-07-11","2301.0000","2333.0000","2275.0000","2301.3501","2259.7180","820067","0.0000","1.0000"
"2018-07-10","2345.6001","2345.6001","2303.0000","2321.8501","2279.8472","665940","0.0000","1.0000"
"2018-07-09","2282.0000","2335.0000","2281.9500","2330.0500","2287.8989","729897","0.0000","1.0000"
"2018-07-06","2300.0000","2319.8999","2255.8501","2269.0500","2228.0024","556218","0.0000","1.0000"
"2018-07-05","2329.9500","2348.7000","2287.7500","2298.6499","2257.0667","830939","0.0000","1.0000"
"2018-07-04","2273.8000","2338.0000","2273.8000","2317.2500","2275.3303","1065535","0.0000","1.0000"
"2018-07-03","2258.0000","2284.0000","2235.2000","2273.7500","2232.6174","756573","0.0000","1.0000"
"2018-07-02","2230.0000","2260.5500","2202.2500","2240.3501","2199.8215","774325","0.0000","1.0000"
"2018-06-29","2279.9500","2284.0000","2223.0000","2235.0500","2194.6174","898423","0.0000","1.0000"
"2018-06-28","2289.0000","2325.9500","2272.2000","2295.7500","2254.2192","1228463","0.0000","1.0000"
"2018-06-27","2257.8999","2306.8000","2245.8999","2293.8000","2252.3047","1552070","0.0000","1.0000"
"2018-06-26","2284.0000","2285.0000","2257.3999","2267.1499","2226.1367","628148","0.0000","1.0000"
"2018-06-25","2305.0000","2326.8000","2281.0000","2290.1499","2248.7205","1142767","0.0000","1.0000"
"2018-06-22","2325.0000","2347.5000","2274.0500","2336.2500","2293.9866","1667277","0.0000","1.0000"
"2018-06-21","2389.0000","2389.0000","2306.5000","2316.3999","2274.4956","1115131","0.0000","1.0000"
"2018-06-20","2393.0000","2409.8999","2352.9500","2367.7500","2324.9167","1149681","0.0000","1.0000"
"2018-06-19","2403.2000","2429.6001","2376.5500","2393.0000","2349.7100","2106466","0.0000","1.0000"
"2018-06-18","2339.0000","2411.0000","2292.3999","2385.8501","2342.6895","2310151","0.0000","1.0000"
"2018-06-15","2303.0000","2385.8000","2296.2500","2349.8501","2307.3406","4456911","0.0000","1.0000"
"2018-06-14","2260.0500","2299.6499","2246.5500","2269.3999","2228.3457","1588963","0.0000","1.0000"
"2018-06-13","2190.0000","2304.0000","2185.0000","2256.3000","2215.4829","2580254","0.0000","1.0000"
"2018-06-12","2097.0000","2195.0000","2097.0000","2190.6499","2151.0205","2097114","0.0000","1.0000"
"2018-06-11","2062.0500","2125.0000","2051.6499","2083.2000","2045.5142","1612295","0.0000","1.0000"
"2018-06-08","1973.0000","2072.6001","1973.0000","2062.8999","2025.5815","1113559","0.0000","1.0000"
"2018-06-07","1965.0000","1976.9500","1961.2000","1964.9500","1929.4034","152700","0.0000","1.0000"
"2018-06-06","1963.0000","1977.9000","1948.0000","1960.4500","1924.9849","415605","0.0000","1.0000"
"2018-06-05","1980.0000","1987.5500","1954.0000","1963.4000","1927.8816","365344","0.0000","1.0000"
"2018-06-04","1978.0000","2027.9000","1965.0000","1996.0000","1959.8918","1400421","0.0000","1.0000"
"2018-06-01","1940.0000","1963.4500","1932.3500","1941.4000","1906.2795","441861","0.0000","1.0000"
"2018-05-31","1971.8000","1971.8000","1925.9500","1936.6000","1901.5664","1860178","0.0000","1.0000"
"2018-05-30","1975.0000","1975.0000","1952.0000","1961.8000","1926.3105","335848","0.0000","1.0000"
"2018-05-29","2000.0000","2014.5500","1972.6000","1980.7000","1944.8685","490670","0.0000","1.0000"
"2018-05-28","1966.7500","2012.0500","1960.0000","1994.5500","1958.4681","508364","0.0000","1.0000"
"2018-05-25","1975.0000","1995.8000","1965.0000","1967.8500","1932.2511","435249","0.0000","1.0000"
"2018-05-24","1962.7000","1985.2000","1942.9500","1972.9500","1937.2587","458454","0.0000","1.0000"
"2018-05-23","1978.0000","1993.9000","1934.8000","1954.3500","1918.9952","734078","0.0000","1.0000"
"2018-05-22","1902.5000","2036.0000","1890.0000","2009.6000","1973.2457","2019136","0.0000","1.0000"
"2018-05-21","1991.0000","1991.0000","1887.0000","1893.0500","1858.8042","505736","0.0000","1.0000"
"2018-05-18","1982.8000","1992.0000","1967.3500","1982.0000","1946.1450","507296","0.0000","1.0000"
"2018-05-17","1995.8000","1995.8000","1950.1000","1977.1500","1941.3828","466175","0.0000","1.0000"
"2018-05-16","2006.0000","2008.5000","1985.0000","1993.9500","1957.8788","274437","0.0000","1.0000"
"2018-05-15","2017.7500","2030.0000","1978.2000","2008.5000","1972.1658","404721","0.0000","1.0000"
"2018-05-14","2012.0000","2043.0000","2012.0000","2017.7500","1981.2483","581715","0.0000","1.0000"
"2018-05-11","2003.5000","2017.9000","1960.0000","1990.5000","1954.4913","604488","0.0000","1.0000"
"2018-05-10","2055.0000","2059.0000","1982.0000","1989.6000","1953.6077","660318","0.0000","1.0000"
"2018-05-09","2075.8501","2085.0000","2058.5000","2064.3501","2027.0054","254351","0.0000","1.0000"
"2018-05-08","2090.0000","2094.0500","2065.0000","2074.9500","2037.4136","250444","0.0000","1.0000"
"2018-05-07","2110.0000","2110.7500","2055.0000","2069.5000","2032.0621","344097","0.0000","1.0000"
"2018-05-04","2130.0000","2145.0000","2097.8999","2106.6001","2068.4910","364533","0.0000","1.0000"
