"timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"2018-10-17","609.4000","609.4000","591.0000","593.4500","593.4500","2628835","0.0000","1.0000"
"2018-10-16","601.9500","612.0000","592.8500","602.7000","602.7000","3557343","0.0000","1.0000"
"2018-10-15","593.7000","603.4500","586.6500","599.9500","599.9500","3422475","0.0000","1.0000"
"2018-10-12","591.1000","597.7500","582.6500","590.6000","590.6000","5795641","0.0000","1.0000"
"2018-10-11","590.0000","603.2500","582.7000","586.7000","586.7000","4591533","0.0000","1.0000"
"2018-10-10","610.0000","619.5000","593.0000","602.9500","602.9500","5566798","0.0000","1.0000"
"2018-10-09","608.0000","617.3000","597.6000","609.7500","609.7500","4516779","0.0000","1.0000"
"2018-10-08","592.0000","608.7500","589.1000","604.2500","604.2500","4400199","0.0000","1.0000"
"2018-10-05","595.0000","616.3500","591.0500","597.9500","597.9500","6804502","0.0000","1.0000"
"2018-10-04","618.0000","620.7500","590.8500","599.0500","599.0500","4851894","0.0000","1.0000"
"2018-10-03","636.5000","640.7500","618.5000","620.8500","620.8500","4723773","0.0000","1.0000"
"2018-10-01","624.0000","639.0000","610.0000","634.7000","634.7000","5527208","0.0000","1.0000"
"2018-09-28","630.0000","636.3500","616.1000","623.2500","623.2500","6693066","0.0000","1.0000"
"2018-09-27","641.7000","643.9500","625.2000","631.2500","631.2500","4070395","0.0000","1.0000"
"2018-09-26","649.8000","649.8000","632.5500","639.8500","639.8500","4850782","0.0000","1.0000"
"2018-09-25","624.1000","645.0000","624.0500","641.1000","641.1000","7213759","0.0000","1.0000"
"2018-09-24","638.0000","642.9500","616.0000","624.0000","624.0000","5305739","0.0000","1.0000"
"2018-09-21","650.0000","655.0000","614.5000","634.9000","634.9000","9635852","0.0000","1.0000"
"2018-09-19","651.9500","657.2500","641.6000","648.8500","648.8500","7659788","0.0000","1.0000"
"2018-09-18","646.4000","655.7000","640.5000","642.5000","642.5000","5780144","0.0000","1.0000"
"2018-09-17","661.0000","668.2500","644.2000","646.2000","646.2000","6264996","0.0000","1.0000"
"2018-09-14","665.0000","670.9000","658.0000","665.2500","663.2500","7444874","0.0000","1.0000"
"2018-09-12","625.0000","654.4000","620.1000","649.9000","647.9462","11215125","0.0000","1.0000"
"2018-09-11","643.0000","649.4000","627.5500","630.4000","628.5048","8273963","0.0000","1.0000"
